îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1977,192 ],27 ],6 ],///,1.0 ],3.2 ],-1.6 ],16.0 ],-10.4 ],///,///,5.0 ],17 ],ñkêº,///,///,218.3 ],///,///,///
1978,884,69,18,///,6.5,9.3,3.4,29.9,-19.4,///,///,4.5,15,ñkñkêº,///,///,2103.7,///,///,///
1979,709,30,8,///,6.4,9.5,3.2,28.7,-16.3 ],///,///,4.6,18,ñkêº,///,///,2100.6,///,///,///
1980,840 ],64 ],25 ],///,5.9,8.5,3.1,24.7 ],-13.5 ],///,///,4.8,19,ñkñkêº,///,///,1924.4,///,///,///
1981,1009 ],48 ],23 ],///,5.9 ],8.2 ],3.4 ],28.3,-12.0,///,///,5.2,17 ],///,///,///,1767.9,///,///,///
1982,951,70 ],48 ],///,6.9,9.7,3.7,30.1,-13.4,///,///,4.9,24,///,///,///,1981.5,///,///,///
1983,841,39,13,///,6.1,8.5,3.2,28.3 ],-14.8,///,///,4.7,17 ],ñkêº,///,///,1803.8,///,///,///
1984,921,59 ],33 ],///,6.3,8.8,3.4,30.8,-14.7,///,///,4.6,25,///,///,///,1959.8,///,///,///
1985,1038,71,23,///,5.9,8.4,3.0,29.9,-14.9,///,///,4.5,18,ìåñkìå,///,///,1853.9,///,///,///
1986,1014,50,12,///,5.8,7.8 ],2.6 ],27.6,-14.2,///,///,4.9,18 ],ñkêº,///,///,75.3 ],///,///,///
1987,1095,46,19,///,6.1,8.6,3.3,26.5,-15.3,///,///,5.0,19,ñkñkêº,///,///,1363.8,///,///,///
1988,876 ],39 ],17 ],///,6.1,8.6,3.4,30.2 ],-14.1,///,///,4.6,18,ñkñkêº,///,///,1511.0,///,///,///
1989,1219 ],51 ],16 ],///,7.5,10.1,4.5,31.0,-11.8,///,///,4.6,16,êºñkêº,///,///,1539.8,///,///,///
1990,1074,74,18,///,8.2,10.9,5.1,27.1,-14.3,///,///,4.2,15,ñkñkêº,///,///,1424.9,///,///,///
1991,1015,50,14,///,7.3,10.0,4.4,26.4,-14.7,///,///,4.6,16,êºñkêº,///,///,1382.6,///,///,///
1992,1089,77,27,///,6.6,9.4,3.7,25.5,-10.8,///,///,4.3,16,ñkñkêº,///,///,1244.6,///,///,///
1993,779,34,10,///,6.6,9.2,3.8,25.9,-15.5,///,///,4.5,24,êºñkêº,///,///,1300.9,///,///,///
1994,998,48,14,///,7.1,9.9,4.2,28.9,-13.0,///,///,4.5,15 ],êºñkêº,///,///,1462.6,///,///,///
1995,1008,70,44,///,7.4,10.1,4.5,27.2,-13.2,///,///,4.0,14,ñkñkêº,///,///,1402.7,///,///,///
1996,995,49,41,///,6.0,8.7,3.3,26.2,-15.5,///,///,4.2,17,êºñkêº,///,///,1289.2,///,///,///
1997,1028,73,16,///,6.7,9.3,3.9,26.6,-12.4,///,///,4.4,15,ìÏ,///,///,1278.6,///,///,///
1998,978,65,15,///,6.6,9.3,3.6,25.4,-14.9,///,///,4.5,14,êºñkêº,///,///,1363.2,///,///,///
1999,1247,77,23,///,7.0,9.4,4.2,28.3,-15.0,///,///,4.4,15,ñkêº,///,///,1354.8,///,///,///
2000,925,39,8 ],///,6.8,9.2,4.1,29.9,-15.5,///,///,4.0,15,êºñkêº,///,///,1161.8,///,///,///
2001,871,57,13,///,6.1,8.6,3.4,25.5,-14.0,///,///,4.3,15,ñkêº,///,///,1282.7,///,///,///
2002,1169,51 ],13,///,7.0,9.6,4.1,25.9,-14.4,///,///,4.0,15,êºñkêº,///,///,1354.5,///,///,///
2003,556 ],47 ],13 ],///,7.7 ],10.9 ],4.4 ],24.1,-15.0 ],///,///,3.5 ],14 ],ñkêº,///,///,1299.0 ],///,///,///
